127.0.0.1 - - [06/Jan/2023:22:38:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:38:27 +0530] "GET /PROJECT_4/ HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:38:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:38:29 +0530] "GET /PROJECT_4/WelcomeCtl HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:38:31 +0530] "GET /PROJECT_4/LoginCtl HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:38:49 +0530] "POST /PROJECT_4/LoginCtl HTTP/1.1" 200 2964
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:38:59 +0530] "POST /PROJECT_4/LoginCtl HTTP/1.1" 200 2964
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:39:11 +0530] "POST /PROJECT_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:39:11 +0530] "GET /PROJECT_4/WelcomeCtl HTTP/1.1" 200 3132
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:39:31 +0530] "GET /PROJECT_4/ctl/MarksheetListCtl HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:39:31 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:39:31 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:39:37 +0530] "GET /PROJECT_4/ctl/UserListCtl HTTP/1.1" 200 9082
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:39:37 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:39:37 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:40:33 +0530] "GET /PROJECT_4/ctl/UserListCtl HTTP/1.1" 200 9232
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:40:34 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:40:34 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:44:54 +0530] "POST /PROJECT_4/ctl/UserListCtl HTTP/1.1" 200 9256
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:44:54 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:44:54 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:47:09 +0530] "GET /PROJECT_4/ctl/MyProfileCtl HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/Jan/2023:22:47:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
